epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1707,2.22315,3.65751,2.40973,0.00333,1,0.00888,0.00234,2.01144,4.76185,2.9417,0.0001,0.0001,0.0001
2,83.6353,1.54951,3.31731,1.67538,0.00333,1,0.6662,0.23233,1.68616,3.73873,1.56758,0.000217822,0.000217822,0.000217822
3,121.429,1.39419,2.67562,1.4236,0.00333,1,0.96643,0.53558,1.47137,3.50686,1.75455,0.000333268,0.000333268,0.000333268
4,156.796,1.31212,2.2271,1.38622,0.00333,1,0.995,0.58995,1.12888,3.08907,1.35715,0.000446338,0.000446338,0.000446338
5,192.514,1.24983,1.9032,1.30142,0.89958,0.6,0.94833,0.65111,1.01758,2.83637,1.45204,0.000557032,0.000557032,0.000557032
6,229.412,1.33136,1.74992,1.31195,0.71122,0.7,0.775,0.2941,1.38149,3.25764,1.55639,0.00066535,0.00066535,0.00066535
7,265.352,1.23467,1.54879,1.24431,1,0.65956,0.85523,0.56688,1.1202,2.78829,1.29366,0.000771292,0.000771292,0.000771292
8,306.976,1.20796,1.5646,1.25083,0.26363,0.5,0.30207,0.12713,1.60048,3.58805,1.896,0.000874858,0.000874858,0.000874858
9,348.271,1.22328,1.46153,1.24422,0.52428,0.7,0.53877,0.22789,1.54732,3.25255,2.05706,0.000976048,0.000976048,0.000976048
10,384.114,1.20845,1.37732,1.22348,0.54438,0.71797,0.64093,0.38706,1.19328,2.70636,1.84452,0.00107486,0.00107486,0.00107486
11,420.124,1.27142,1.49996,1.32072,1,0.9967,0.995,0.63158,1.28757,2.16981,1.55259,0.0011713,0.0011713,0.0011713
12,455.995,1.22251,1.39457,1.26883,0.5788,0.7,0.67113,0.44544,1.32389,2.8095,1.71461,0.00126536,0.00126536,0.00126536
13,492.037,1.29024,1.47457,1.29496,0.89514,0.85624,0.93643,0.67854,1.14133,2.55447,1.45209,0.00135705,0.00135705,0.00135705
14,528.337,1.2335,1.3708,1.27454,1,0.69095,0.8625,0.6274,1.25115,2.25521,1.44531,0.00144636,0.00144636,0.00144636
15,564.323,1.18258,1.3539,1.25123,1,0.88318,0.93346,0.635,1.24963,2.22929,1.45533,0.00153329,0.00153329,0.00153329
16,602.203,1.18229,1.2945,1.21569,0.83949,0.9,0.81009,0.57025,1.34847,2.43197,1.57556,0.00161785,0.00161785,0.00161785
17,639.921,1.29875,1.37109,1.27546,0.85148,0.9,0.89833,0.57397,1.2672,2.40984,1.49439,0.0016832,0.0016832,0.0016832
18,675.907,1.17894,1.19834,1.19691,0.98762,0.8,0.87889,0.48838,1.61959,2.34074,1.65122,0.0016634,0.0016634,0.0016634
19,712.465,1.23422,1.16915,1.23841,1,0.77467,0.83589,0.48199,1.54662,2.18367,1.46522,0.0016436,0.0016436,0.0016436
20,748.326,1.20226,1.19846,1.19303,0.89868,0.9,0.89099,0.55325,1.38455,1.75061,1.4961,0.0016238,0.0016238,0.0016238
21,784.516,1.25062,1.18102,1.23746,0.89651,0.9,0.94643,0.63473,1.27544,1.56672,1.34214,0.001604,0.001604,0.001604
22,820.475,1.19707,1.10961,1.23778,0.99428,1,0.995,0.67632,1.20011,1.28314,1.33644,0.0015842,0.0015842,0.0015842
23,856.337,1.18662,1.12859,1.20713,1,0.9949,0.995,0.63618,1.19075,1.30128,1.32362,0.0015644,0.0015644,0.0015644
24,892.909,1.17842,1.02211,1.2284,0.9895,0.9,0.91628,0.57004,1.18976,1.31946,1.34844,0.0015446,0.0015446,0.0015446
25,929.143,1.13852,1.06452,1.21172,0.99272,0.9,0.97833,0.73951,0.98139,1.24748,1.1356,0.0015248,0.0015248,0.0015248
26,967.943,1.20521,1.13324,1.2466,0.98948,0.9,0.92441,0.60702,1.35328,1.46188,1.51272,0.001505,0.001505,0.001505
27,1006.95,1.23632,1.1003,1.2513,0.98499,0.9,0.92203,0.61403,1.3493,1.60765,1.61475,0.0014852,0.0014852,0.0014852
28,1042.65,1.19231,1.04973,1.1951,0.98435,0.9,0.95056,0.71724,1.05969,1.37769,1.18658,0.0014654,0.0014654,0.0014654
29,1080.78,1.15309,0.97325,1.19825,1,0.97535,0.995,0.6142,1.289,1.41183,1.37901,0.0014456,0.0014456,0.0014456
30,1116.62,1.14774,0.9452,1.17198,0.71162,0.6,0.72166,0.40449,1.38862,2.26358,1.55064,0.0014258,0.0014258,0.0014258
31,2258.41,1.05222,0.93975,1.16336,0.80223,0.9,0.92056,0.5825,1.33456,1.79882,1.488,0.001406,0.001406,0.001406
32,2300.07,1.14046,0.96375,1.17658,0.98578,0.9,0.92064,0.63467,1.16001,1.11581,1.37226,0.0013862,0.0013862,0.0013862
33,2340.56,1.12825,0.86745,1.16645,0.90902,0.99921,0.98591,0.62726,1.17574,1.09733,1.32447,0.0013664,0.0013664,0.0013664
34,2378.18,1.06344,0.91055,1.16047,0.9874,0.9,0.90225,0.64471,1.14746,1.11593,1.28178,0.0013466,0.0013466,0.0013466
35,2418.39,1.14723,0.91988,1.1913,0.80362,0.81991,0.86872,0.6213,1.07836,1.17395,1.21013,0.0013268,0.0013268,0.0013268
36,2461.79,0.97783,0.80461,1.11088,0.98988,0.8,0.8658,0.62886,1.14335,1.44792,1.27102,0.001307,0.001307,0.001307
37,2503.37,1.08531,0.93946,1.18163,0.98853,0.9,0.94763,0.64548,1.20914,1.21105,1.38462,0.0012872,0.0012872,0.0012872
38,2542.71,1.08875,0.84527,1.15724,1,0.99961,0.995,0.60713,1.35231,0.96557,1.52424,0.0012674,0.0012674,0.0012674
39,2580.57,1.06875,0.85939,1.14577,0.99448,1,0.995,0.64361,1.32447,0.91251,1.50786,0.0012476,0.0012476,0.0012476
40,2621,1.11924,0.81743,1.14862,0.9901,1,0.995,0.63324,1.24404,1.00033,1.44224,0.0012278,0.0012278,0.0012278
41,2664.53,1.04125,0.76389,1.13392,0.98862,1,0.995,0.62218,1.23243,0.99483,1.46489,0.001208,0.001208,0.001208
42,2704.88,0.9971,0.7837,1.10576,0.97166,1,0.995,0.70835,1.02501,0.80006,1.30618,0.0011882,0.0011882,0.0011882
43,2743.97,1.03875,0.77002,1.1447,0.9062,1,0.97682,0.66856,1.19014,0.80407,1.4197,0.0011684,0.0011684,0.0011684
44,2786.31,1.08497,0.74726,1.14163,0.90847,0.99315,0.98591,0.66834,1.17806,0.84377,1.37459,0.0011486,0.0011486,0.0011486
45,2827.04,0.99068,0.72969,1.09729,0.99771,1,0.995,0.61957,1.28952,0.88147,1.40496,0.0011288,0.0011288,0.0011288
46,2866.03,1.11124,0.79163,1.15064,1,0.99497,0.995,0.62966,1.16943,0.74958,1.38186,0.001109,0.001109,0.001109
47,2909.19,0.92928,0.69501,1.06315,1,0.9938,0.995,0.65889,1.16491,0.74786,1.38366,0.0010892,0.0010892,0.0010892
48,2950.04,1.0262,0.75307,1.12507,1,0.99447,0.995,0.69287,1.18984,0.74058,1.31364,0.0010694,0.0010694,0.0010694
49,2992.86,0.96434,0.71277,1.08913,1,0.99575,0.995,0.68911,1.15483,0.734,1.2742,0.0010496,0.0010496,0.0010496
50,3036.92,0.92813,0.70364,1.0685,0.99247,0.9,0.97833,0.74884,0.95339,0.73741,1.16784,0.0010298,0.0010298,0.0010298
51,3080.78,0.88689,0.6489,1.04763,0.99091,0.9,0.95382,0.70243,0.9671,0.73772,1.1963,0.00101,0.00101,0.00101
52,3122.97,0.89294,0.66342,1.05897,0.98319,0.9,0.93071,0.66195,1.26003,0.8218,1.37872,0.0009902,0.0009902,0.0009902
53,3165.77,0.9091,0.65255,1.06424,0.98321,0.9,0.91881,0.63875,1.26078,0.84079,1.39743,0.0009704,0.0009704,0.0009704
54,3207.2,0.94344,0.69893,1.05823,0.99147,0.9,0.96643,0.68162,1.14615,0.82579,1.22204,0.0009506,0.0009506,0.0009506
55,3247.51,0.90446,0.67982,1.06204,0.99206,0.9,0.91628,0.64184,1.14639,0.83097,1.23916,0.0009308,0.0009308,0.0009308
56,3285.67,0.95242,0.6993,1.09011,0.99088,0.9,0.97192,0.69689,0.95499,0.67515,1.13727,0.000911,0.000911,0.000911
57,3337.5,0.89549,0.6466,1.05612,0.9887,0.9,0.96643,0.71014,0.93637,0.68724,1.10956,0.0008912,0.0008912,0.0008912
58,3378.71,0.88169,0.63379,1.06934,0.98464,0.9,0.96167,0.67316,1.03176,0.73584,1.19506,0.0008714,0.0008714,0.0008714
59,3418.57,0.93265,0.67062,1.06258,0.98699,0.9,0.97833,0.6491,1.08877,0.78134,1.24152,0.0008516,0.0008516,0.0008516
60,3458.59,0.91162,0.63204,1.03739,0.99048,0.9,0.98591,0.61607,1.11892,0.74083,1.29362,0.0008318,0.0008318,0.0008318
61,3499.51,0.86662,0.59929,1.02888,0.99086,0.9,0.98591,0.60446,1.10756,0.70023,1.31673,0.000812,0.000812,0.000812
62,3539.66,0.83051,0.56735,1.04393,0.90773,0.98505,0.98591,0.69226,1.02359,0.72055,1.18054,0.0007922,0.0007922,0.0007922
63,3579.46,0.84258,0.59174,1.04861,0.99313,0.9,0.98591,0.68954,1.10289,0.7086,1.22888,0.0007724,0.0007724,0.0007724
64,3620.96,0.848,0.56681,1.05365,0.99339,0.9,0.97833,0.69672,1.09157,0.68801,1.25312,0.0007526,0.0007526,0.0007526
65,3663.67,0.81239,0.57686,1.03908,0.99254,0.9,0.97833,0.70799,1.02376,0.67705,1.20197,0.0007328,0.0007328,0.0007328
66,3703.74,0.82628,0.5889,1.05419,0.9865,0.9,0.96167,0.7002,1.0978,0.65384,1.26331,0.000713,0.000713,0.000713
67,3743.99,0.80993,0.56325,1.01603,0.99625,1,0.995,0.67353,1.17011,0.61769,1.32035,0.0006932,0.0006932,0.0006932
68,3786.5,0.75017,0.53053,0.99216,0.99598,1,0.995,0.67292,1.1814,0.64324,1.2982,0.0006734,0.0006734,0.0006734
69,3831.33,0.83075,0.52566,1.01923,0.9964,1,0.995,0.69034,1.13974,0.61203,1.25706,0.0006536,0.0006536,0.0006536
70,3877.27,0.775,0.52913,1.00278,0.99702,1,0.995,0.69466,1.09837,0.56927,1.26625,0.0006338,0.0006338,0.0006338
71,3924.41,0.84075,0.56374,1.02828,0.997,1,0.995,0.72077,1.0704,0.58311,1.21536,0.000614,0.000614,0.000614
72,3970.81,0.77902,0.52938,1.01743,0.99619,1,0.995,0.76757,1.00637,0.58368,1.18098,0.0005942,0.0005942,0.0005942
73,4015.28,0.74856,0.54557,0.99181,0.99626,1,0.995,0.72138,1.09294,0.57514,1.26897,0.0005744,0.0005744,0.0005744
74,4060.4,0.77349,0.54207,1.01448,0.99676,1,0.995,0.64782,1.25022,0.56612,1.45718,0.0005546,0.0005546,0.0005546
75,4105.45,0.75999,0.5546,0.99682,0.99704,1,0.995,0.69114,1.18852,0.56486,1.35837,0.0005348,0.0005348,0.0005348
76,4149.66,0.70111,0.50538,0.95668,0.9977,1,0.995,0.73726,1.11254,0.5458,1.26431,0.000515,0.000515,0.000515
77,4189.47,0.80457,0.5357,1.0396,0.99946,1,0.995,0.7152,1.0686,0.51681,1.25668,0.0004952,0.0004952,0.0004952
78,4232.71,0.73551,0.53183,0.99004,1,0.99577,0.995,0.72016,1.09393,0.54702,1.28753,0.0004754,0.0004754,0.0004754
79,4275.83,0.72627,0.48502,0.99782,1,0.99534,0.995,0.68198,1.16789,0.60275,1.33919,0.0004556,0.0004556,0.0004556
80,4313.09,0.72336,0.47878,0.97929,1,0.99547,0.995,0.71581,1.05199,0.57977,1.23459,0.0004358,0.0004358,0.0004358
81,4355.05,0.71332,0.49067,0.98829,1,0.99517,0.995,0.73645,0.965,0.55353,1.17883,0.000416,0.000416,0.000416
82,4395.29,0.77186,0.50038,1.00944,1,0.99505,0.995,0.7357,0.90639,0.52695,1.15856,0.0003962,0.0003962,0.0003962
83,4435.23,0.70639,0.47739,0.97757,1,0.99509,0.995,0.72744,0.955,0.55317,1.19897,0.0003764,0.0003764,0.0003764
84,4480.03,0.69077,0.48332,0.98573,1,0.99525,0.995,0.72293,1.06763,0.57722,1.30516,0.0003566,0.0003566,0.0003566
85,4524.33,0.75209,0.51892,0.97679,1,0.99548,0.995,0.72713,1.08184,0.57709,1.31402,0.0003368,0.0003368,0.0003368
86,4566.32,0.65741,0.47482,0.97524,1,0.99595,0.995,0.7476,1.02397,0.57627,1.25296,0.000317,0.000317,0.000317
87,4628.52,0.65519,0.45213,0.94681,1,0.99581,0.995,0.76959,0.98993,0.54632,1.21099,0.0002972,0.0002972,0.0002972
88,4689.18,0.63147,0.46315,0.95214,1,0.9955,0.995,0.75239,0.9968,0.51891,1.20048,0.0002774,0.0002774,0.0002774
89,4737.42,0.66193,0.45916,0.94706,1,0.99557,0.995,0.74765,0.99993,0.51774,1.20005,0.0002576,0.0002576,0.0002576
90,4779.05,0.59016,0.42487,0.93591,1,0.99552,0.995,0.75815,1.02195,0.5236,1.22025,0.0002378,0.0002378,0.0002378
91,4820.5,0.59066,0.46711,0.92853,1,0.99605,0.995,0.77244,1.02034,0.52803,1.20815,0.000218,0.000218,0.000218
92,4862.5,0.54109,0.45939,0.90071,1,0.99704,0.995,0.76316,1.0096,0.50715,1.17734,0.0001982,0.0001982,0.0001982
93,4905.74,0.51815,0.43169,0.90986,1,0.99811,0.995,0.71638,1.01446,0.50356,1.17475,0.0001784,0.0001784,0.0001784
94,4954.76,0.52773,0.43668,0.89702,1,0.99916,0.995,0.71874,1.02475,0.51954,1.18656,0.0001586,0.0001586,0.0001586
95,4999.61,0.57949,0.43843,0.9152,1,0.99863,0.995,0.71874,1.02618,0.51979,1.1901,0.0001388,0.0001388,0.0001388
96,5042.07,0.50533,0.40112,0.8866,1,0.99769,0.995,0.72375,1.07143,0.53077,1.23683,0.000119,0.000119,0.000119
97,5084.23,0.52171,0.41669,0.9194,1,0.99734,0.995,0.72299,1.09559,0.53828,1.26271,9.92e-05,9.92e-05,9.92e-05
98,5127.22,0.4964,0.40338,0.90052,1,0.99794,0.995,0.71461,1.12298,0.54021,1.29491,7.94e-05,7.94e-05,7.94e-05
99,5171.57,0.46751,0.39552,0.90769,1,0.99807,0.995,0.72571,1.12086,0.54051,1.2929,5.96e-05,5.96e-05,5.96e-05
100,5215.4,0.47733,0.38696,0.91048,1,0.99869,0.995,0.71409,1.11205,0.53782,1.28444,3.98e-05,3.98e-05,3.98e-05
